country,date,rating_count,rating_mean,rating_std,rating_median,rating_p10,rating_p90,rating_players,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_p10,accuracy_p90,accuracy_players
FR,2007-08-25,1,1361.0,0.0,1361.0,1361.0,1361.0,1,1,56.92,0.0,56.92,56.92,56.92,1
FR,2007-08-27,1,1559.0,0.0,1559.0,1559.0,1559.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-08-29,3,1461.0,46.180804092898455,1458.0,1416.4,1506.8,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-03,1,1461.0,0.0,1461.0,1461.0,1461.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-04,1,1517.0,0.0,1517.0,1517.0,1517.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-05,1,1570.0,0.0,1570.0,1570.0,1570.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-09,2,1629.5,23.5,1629.5,1610.7,1648.3,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-10,2,1626.0,1.0,1626.0,1625.2,1626.8,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-11,3,1672.3333333333333,8.806563209081938,1677.0,1663.4,1679.4,1,1,85.78,0.0,85.78,85.78,85.78,1
FR,2007-09-20,1,1712.0,0.0,1712.0,1712.0,1712.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-22,1,1674.0,0.0,1674.0,1674.0,1674.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-27,1,1695.0,0.0,1695.0,1695.0,1695.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-28,1,1704.0,0.0,1704.0,1704.0,1704.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-09-29,1,1726.0,0.0,1726.0,1726.0,1726.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-02,1,1719.0,0.0,1719.0,1719.0,1719.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-03,2,1742.0,12.0,1742.0,1732.4,1751.6,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-08,1,1731.0,0.0,1731.0,1731.0,1731.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-10,1,1750.0,0.0,1750.0,1750.0,1750.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-11,1,1745.0,0.0,1745.0,1745.0,1745.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-13,2,1706.0,12.0,1706.0,1696.4,1715.6,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-17,1,1718.0,0.0,1718.0,1718.0,1718.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-19,1,1737.0,0.0,1737.0,1737.0,1737.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-20,1,1702.0,0.0,1702.0,1702.0,1702.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-21,1,1716.0,0.0,1716.0,1716.0,1716.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-23,1,1708.0,0.0,1708.0,1708.0,1708.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-24,1,1723.0,0.0,1723.0,1723.0,1723.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-10-30,2,1751.5,11.5,1751.5,1742.3,1760.7,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-01,1,1763.0,0.0,1763.0,1763.0,1763.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-04,1,1783.0,0.0,1783.0,1783.0,1783.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-05,2,1795.5,10.5,1795.5,1787.1,1803.9,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-06,1,1804.0,0.0,1804.0,1804.0,1804.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-07,1,1804.0,0.0,1804.0,1804.0,1804.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-16,1,1798.0,0.0,1798.0,1798.0,1798.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-19,1,1758.0,0.0,1758.0,1758.0,1758.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-21,1,1787.0,0.0,1787.0,1787.0,1787.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-22,1,1796.0,0.0,1796.0,1796.0,1796.0,1,0,0.0,0.0,0.0,0.0,0.0,0
FR,2007-11-23,1,1850.0,0.0,1850.0,1850.0,1850.0,1,0,0.0,0.0,0.0,0.0,0.0,0
