country,date,rating_count,rating_mean,rating_std,rating_median,rating_p10,rating_p90,rating_players,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_p10,accuracy_p90,accuracy_players
IN,2008-03-14,2,1200.0,0.0,1200.0,1200.0,1200.0,2,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-06-01,1,1200.0,0.0,1200.0,1200.0,1200.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-06-20,1,1200.0,0.0,1200.0,1200.0,1200.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-08-28,1,1157.0,0.0,1157.0,1157.0,1157.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-09-25,4,1200.0,0.0,1200.0,1200.0,1200.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-09-26,4,1200.0,0.0,1200.0,1200.0,1200.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-10-04,1,1393.0,0.0,1393.0,1393.0,1393.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-10-24,1,1345.0,0.0,1345.0,1345.0,1345.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-10-25,1,1585.0,0.0,1585.0,1585.0,1585.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-11-05,1,1361.0,0.0,1361.0,1361.0,1361.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-11-07,1,1398.0,0.0,1398.0,1398.0,1398.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-11-09,1,1471.0,0.0,1471.0,1471.0,1471.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-11-11,1,1471.0,0.0,1471.0,1471.0,1471.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-11-13,2,1537.0,52.0,1537.0,1495.4,1578.6,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-11-25,1,1632.0,0.0,1632.0,1632.0,1632.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-12-04,3,1437.6666666666667,41.52375491477405,1420.0,1402.4,1480.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-12-06,1,1387.0,0.0,1387.0,1387.0,1387.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-12-10,1,1375.0,0.0,1375.0,1375.0,1375.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-12-11,4,1353.0,22.0,1353.0,1331.0,1375.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-12-13,1,1618.0,0.0,1618.0,1618.0,1618.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-12-18,1,1314.0,0.0,1314.0,1314.0,1314.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-12-19,1,1314.0,0.0,1314.0,1314.0,1314.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2008-12-20,1,1314.0,0.0,1314.0,1314.0,1314.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-01-03,9,1289.4444444444443,10.822929477231929,1282.0,1282.0,1302.8,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-01-04,4,1282.0,0.0,1282.0,1282.0,1282.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-01-05,4,1282.0,0.0,1282.0,1282.0,1282.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-01-06,2,1282.0,0.0,1282.0,1282.0,1282.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-01-11,1,1282.0,0.0,1282.0,1282.0,1282.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-02-04,1,1282.0,0.0,1282.0,1282.0,1282.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-02-05,1,1361.0,0.0,1361.0,1361.0,1361.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-02-06,2,1200.0,0.0,1200.0,1200.0,1200.0,2,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-02-11,1,1282.0,0.0,1282.0,1282.0,1282.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-10-30,3,1350.3333333333333,86.0439164354782,1403.0,1263.8,1415.8,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-10-31,8,1281.375,0.0,1088.0,1088.0,1088.0,4,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-11-01,32,1128.65625,6.82316316348624,1096.5,1085.8,1104.9,4,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-11-02,29,1099.2758620689656,9.286713926656487,1076.0,1065.0,1087.0,3,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-11-03,7,1270.2857142857142,13.498299212591675,1264.0,1256.6,1289.2,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-11-04,2,1187.0,0.0,1187.0,1187.0,1187.0,1,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-11-05,28,1122.2142857142858,10.267496657087635,1099.0,1089.0,1109.0,4,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-11-06,44,1109.3863636363635,9.737367535972556,1104.0,1097.0,1121.0,3,0,0.0,0.0,0.0,0.0,0.0,0
IN,2009-11-07,54,1160.425925925926,16.372506128143602,1160.0,1132.0,1173.0,4,0,0.0,0.0,0.0,0.0,0.0,0
