country,date,rating_count,rating_mean,rating_std,rating_median,rating_p10,rating_p90,rating_players,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_p10,accuracy_p90,accuracy_players
UA,2008-11-21,1,1200.0,0.0,1200.0,1200.0,1200.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-02-10,1,1096.0,0.0,1096.0,1096.0,1096.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-02-12,1,1358.0,0.0,1358.0,1358.0,1358.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-06-12,1,1360.0,0.0,1360.0,1360.0,1360.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-06-15,1,1486.0,0.0,1486.0,1486.0,1486.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-06-18,1,1486.0,0.0,1486.0,1486.0,1486.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-07-05,1,1419.0,0.0,1419.0,1419.0,1419.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-08-03,1,1305.0,0.0,1305.0,1305.0,1305.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-08-08,1,1573.0,0.0,1573.0,1573.0,1573.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-08-09,1,1573.0,0.0,1573.0,1573.0,1573.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-08-14,1,1652.0,0.0,1652.0,1652.0,1652.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-08-16,1,1305.0,0.0,1305.0,1305.0,1305.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-08-17,2,1369.5,64.5,1369.5,1317.9,1421.1,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-08-31,1,1758.0,0.0,1758.0,1758.0,1758.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-09-01,1,1553.0,0.0,1553.0,1553.0,1553.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-09-07,1,1873.0,0.0,1873.0,1873.0,1873.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-09-10,1,1668.0,0.0,1668.0,1668.0,1668.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-09-12,2,1795.5,0.0,1941.0,1941.0,1941.0,2,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-09-14,1,1684.0,0.0,1684.0,1684.0,1684.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-09-15,1,1966.0,0.0,1966.0,1966.0,1966.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-09-16,1,1200.0,0.0,1200.0,1200.0,1200.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-09-18,1,1610.0,0.0,1610.0,1610.0,1610.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-05,2,1763.5,0.0,1896.0,1896.0,1896.0,2,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-06,3,1878.0,33.95094500402996,1870.0,1846.8,1912.4,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-07,3,1931.0,13.140268896284685,1933.0,1917.8,1943.4,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-10,2,1972.0,11.0,1972.0,1963.2,1980.8,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-12,1,2008.0,0.0,2008.0,2008.0,2008.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-17,1,1587.0,0.0,1587.0,1587.0,1587.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-18,1,1679.0,0.0,1679.0,1679.0,1679.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-19,1,1974.0,0.0,1974.0,1974.0,1974.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-20,1,1708.0,0.0,1708.0,1708.0,1708.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-24,1,1763.0,0.0,1763.0,1763.0,1763.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-27,1,1997.0,0.0,1997.0,1997.0,1997.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-29,2,1618.0,11.0,1618.0,1609.2,1626.8,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-30,25,1530.68,176.70948773497014,1519.5,1245.6,1759.8,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-10-31,11,1349.0,84.41666209644973,1247.0,1238.8,1307.8,3,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-01,9,1327.6666666666667,55.602451861956816,1263.0,1194.2,1275.8,2,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-02,35,1471.2,6.0,1165.0,1160.2,1169.8,6,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-03,28,1386.642857142857,96.19381476997364,985.0,954.0,1170.5,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-04,41,1390.5853658536585,68.30446544699694,1163.5,1043.2,1211.5,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-05,43,1458.860465116279,202.6393332376516,1440.0,1227.5,1818.1,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-06,36,1468.4444444444443,181.7569038151816,1426.0,1218.8,1832.4,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-07,10,1403.7,0.0,2007.0,2007.0,2007.0,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-08,6,1354.6666666666667,0.0,2014.0,2014.0,2014.0,2,1,79.76,0.0,79.76,79.76,79.76,1
UA,2009-11-09,33,1548.3636363636365,199.2855892776745,1431.0,1405.2,1846.6,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-10,34,1453.6764705882354,4.5,1146.5,1142.9,1150.1,5,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-11,33,1490.5757575757575,8.591015979239916,1156.0,1144.0,1162.5,6,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-12,54,1436.3333333333333,10.039591048929836,1152.0,1141.0,1164.0,6,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-13,43,1442.813953488372,85.57488664608206,1145.0,1000.6,1214.8,5,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-14,1,1645.0,0.0,1645.0,1645.0,1645.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-15,1,1230.0,0.0,1230.0,1230.0,1230.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-16,40,1446.5,46.84103590472887,1145.0,1135.0,1236.0,6,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-17,37,1461.9999999999998,47.37087712930804,1133.0,1095.4,1142.4,5,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-18,16,1650.5,0.0,1153.0,1153.0,1153.0,5,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-19,27,1445.148148148148,64.92407721692419,1178.0,1127.6,1191.6,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-20,4,1185.0,2.0,1166.0,1164.4,1167.6,2,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-21,3,1471.6666666666667,0.0,1219.0,1219.0,1219.0,2,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-22,5,1207.6,4.363484845854286,1209.0,1202.6,1212.0,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-23,19,1402.0526315789473,9.908960591303208,1175.5,1170.2,1189.9,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-24,11,1354.909090909091,0.816496580927726,1164.0,1163.2,1164.8,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-25,19,1219.0526315789473,76.7687436395829,1158.0,1040.4,1160.8,3,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-26,23,1533.304347826087,107.19452722348592,1162.0,997.2,1192.4,5,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-27,25,1471.12,13.147599590799835,1184.0,1165.6,1187.6,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-28,3,1679.3333333333333,108.02880274363048,1608.0,1600.0,1787.2,1,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-29,12,1571.9166666666667,72.56376506218514,1468.5,1393.3,1539.5,4,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-11-30,16,1418.7499999999998,0.0,1539.0,1539.0,1539.0,6,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-01,32,1555.4375,30.36033596652053,1561.0,1532.3,1596.3,5,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-02,32,1498.0625,3.0,1612.0,1609.6,1614.4,6,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-03,27,1406.7777777777778,36.17578610065025,1239.5,1204.8,1246.3,3,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-04,22,1463.0,13.07244770075172,1638.0,1624.4,1650.0,6,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-05,13,1587.7692307692307,113.71063879426586,1531.5,1365.2,1587.1,2,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-07,25,1560.52,20.643643089338664,1651.0,1628.8,1675.8,6,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-08,12,1357.6666666666667,93.32336256265094,1231.0,1142.1,1238.9,3,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-09,24,1328.0,80.13861957325842,1226.0,1219.0,1234.0,5,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-10,24,1507.6666666666667,9.0,1636.0,1628.8,1643.2,6,0,0.0,0.0,0.0,0.0,0.0,0
UA,2009-12-11,20,1404.55,27.32294292122544,1203.0,1180.6,1209.2,4,0,0.0,0.0,0.0,0.0,0.0,0
