country,date,rating_count,rating_mean,rating_std,rating_median,rating_p10,rating_p90,rating_players,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_p10,accuracy_p90,accuracy_players
NL,2007-08-14,1,1361.0,0.0,1361.0,1361.0,1361.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-08-22,2,1576.5,36.5,1576.5,1547.3,1605.7,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-08-25,1,1667.0,0.0,1667.0,1667.0,1667.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-08-26,1,1728.0,0.0,1728.0,1728.0,1728.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-08-27,1,1684.0,0.0,1684.0,1684.0,1684.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-08-28,1,1684.0,0.0,1684.0,1684.0,1684.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-01,1,1698.0,0.0,1698.0,1698.0,1698.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-02,1,1705.0,0.0,1705.0,1705.0,1705.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-06,1,1718.0,0.0,1718.0,1718.0,1718.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-07,1,1718.0,0.0,1718.0,1718.0,1718.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-09,2,1762.5,31.5,1762.5,1737.3,1787.7,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-10,1,1799.0,0.0,1799.0,1799.0,1799.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-14,1,1801.0,0.0,1801.0,1801.0,1801.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-15,2,1735.0,12.0,1735.0,1725.4,1744.6,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-16,1,1724.0,0.0,1724.0,1724.0,1724.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-17,1,1670.0,0.0,1670.0,1670.0,1670.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-22,2,1637.5,9.5,1637.5,1629.9,1645.1,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-23,1,1637.0,0.0,1637.0,1637.0,1637.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-24,1,1660.0,0.0,1660.0,1660.0,1660.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-25,2,1682.5,6.5,1682.5,1677.3,1687.7,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-27,1,1696.0,0.0,1696.0,1696.0,1696.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-28,2,1681.5,3.5,1681.5,1678.7,1684.3,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-09-29,2,1656.5,6.5,1656.5,1651.3,1661.7,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-01,2,1683.0,7.0,1683.0,1677.4,1688.6,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-03,2,1713.5,14.5,1713.5,1701.9,1725.1,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-05,1,1737.0,0.0,1737.0,1737.0,1737.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-06,2,1748.0,4.0,1748.0,1744.8,1751.2,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-07,1,1752.0,0.0,1752.0,1752.0,1752.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-08,1,1741.0,0.0,1741.0,1741.0,1741.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-12,2,1704.5,13.5,1704.5,1693.7,1715.3,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-13,1,1710.0,0.0,1710.0,1710.0,1710.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-16,1,1722.0,0.0,1722.0,1722.0,1722.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-17,1,1748.0,0.0,1748.0,1748.0,1748.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-20,1,1758.0,0.0,1758.0,1758.0,1758.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-24,2,1769.5,5.5,1769.5,1765.1,1773.9,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-26,1,1790.0,0.0,1790.0,1790.0,1790.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-27,1,1754.0,0.0,1754.0,1754.0,1754.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-28,2,1736.5,6.5,1736.5,1731.3,1741.7,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-29,2,1713.5,1.5,1713.5,1712.3,1714.7,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-10-30,1,1689.0,0.0,1689.0,1689.0,1689.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-04,1,1702.0,0.0,1702.0,1702.0,1702.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-06,2,1709.5,0.5,1709.5,1709.1,1709.9,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-09,2,1707.5,9.5,1707.5,1699.9,1715.1,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-10,1,1699.0,0.0,1699.0,1699.0,1699.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-11,3,1704.3333333333333,2.867441755680876,1704.0,1701.6,1707.2,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-12,1,1713.0,0.0,1713.0,1713.0,1713.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-13,1,1730.0,0.0,1730.0,1730.0,1730.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-16,2,1745.5,10.5,1745.5,1737.1,1753.9,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-19,5,1603.6,0.0,1361.0,1361.0,1361.0,2,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-20,3,1777.6666666666667,4.189935029992178,1779.0,1773.4,1781.4,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-23,3,1792.3333333333333,5.2493385826745405,1795.0,1787.0,1796.6,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-24,2,1788.0,3.0,1788.0,1785.6,1790.4,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-25,1,1794.0,0.0,1794.0,1794.0,1794.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-26,2,1800.0,2.0,1800.0,1798.4,1801.6,1,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-27,4,1445.25,0.0,1084.0,1084.0,1084.0,3,0,0.0,0.0,0.0,0.0,0.0,0
NL,2007-11-29,2,1819.0,0.0,1819.0,1819.0,1819.0,1,0,0.0,0.0,0.0,0.0,0.0,0
