country,date,rating_count,rating_mean,rating_std,rating_median,rating_p10,rating_p90,rating_players,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_p10,accuracy_p90,accuracy_players
NO,2007-10-11,1,955.0,0.0,955.0,955.0,955.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2007-11-19,1,1200.0,0.0,1200.0,1200.0,1200.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2007-11-21,1,1570.0,0.0,1570.0,1570.0,1570.0,1,1,95.34,0.0,95.34,95.34,95.34,1
NO,2007-11-22,1,1621.0,0.0,1621.0,1621.0,1621.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2007-11-29,1,1000.0,0.0,1000.0,1000.0,1000.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2007-12-02,2,1296.5,0.0,1533.0,1533.0,1533.0,2,0,0.0,0.0,0.0,0.0,0.0,0
NO,2007-12-16,1,1590.0,0.0,1590.0,1590.0,1590.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2007-12-23,1,1739.0,0.0,1739.0,1739.0,1739.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2007-12-27,1,1677.0,0.0,1677.0,1677.0,1677.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-01-07,1,1670.0,0.0,1670.0,1670.0,1670.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-01-09,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-01-10,1,1634.0,0.0,1634.0,1634.0,1634.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-01-12,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-01-19,2,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-01-20,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-01-24,2,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-01-25,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-02-01,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-02-02,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-02-08,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-02-15,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-02-24,1,1776.0,0.0,1776.0,1776.0,1776.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-02-25,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-02-29,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-04,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-06,2,1833.0,10.0,1833.0,1825.0,1841.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-07,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-10,2,1628.0,0.0,1396.0,1396.0,1396.0,2,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-12,1,1873.0,0.0,1873.0,1873.0,1873.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-13,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-15,1,1892.0,0.0,1892.0,1892.0,1892.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-17,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-19,1,1879.0,0.0,1879.0,1879.0,1879.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-21,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-22,4,1774.5,0.0,1396.0,1396.0,1396.0,2,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-03-25,1,1855.0,0.0,1855.0,1855.0,1855.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-04-01,2,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-04-10,1,1880.0,0.0,1880.0,1880.0,1880.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-04-14,1,1897.0,0.0,1897.0,1897.0,1897.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-04-15,1,1889.0,0.0,1889.0,1889.0,1889.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-04-16,1,1901.0,0.0,1901.0,1901.0,1901.0,1,1,97.48,0.0,97.48,97.48,97.48,1
NO,2008-04-17,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-04-21,3,1562.0,0.0,1396.0,1396.0,1396.0,2,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-05-02,1,1916.0,0.0,1916.0,1916.0,1916.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-05-04,3,1772.3333333333333,0.0,1396.0,1396.0,1396.0,2,1,93.35,0.0,0.0,0.0,0.0,1
NO,2008-05-05,1,1975.0,0.0,1975.0,1975.0,1975.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-05-06,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-05-08,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-05-09,1,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-05-15,3,1982.6666666666667,27.157974069424903,1995.0,1955.0,2005.4,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-05-17,2,1396.0,0.0,1396.0,1396.0,1396.0,1,0,0.0,0.0,0.0,0.0,0.0,0
NO,2008-05-18,1,1908.0,0.0,1908.0,1908.0,1908.0,1,0,0.0,0.0,0.0,0.0,0.0,0
