country,date,active_players,rating_count,rating_mean,rating_std,rating_median,rating_p10,rating_p90,rating_players,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_p10,accuracy_p90,accuracy_players,win_count,loss_count,win_percentage,loss_percentage
FR,2007-08-25,7,7,1361.0,0.0,1361.0,1361.0,1361.0,7,7,56.92000000000001,0.0,56.92,56.92,56.92,7,7,0,100.0,0.0
FR,2007-08-27,7,7,1559.0,0.0,1559.0,1559.0,1559.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-08-29,7,21,1461.0,46.180804092898455,1458.0,1416.4,1506.8,7,0,0.0,0.0,0.0,0.0,0.0,0,14,7,66.66666666666666,33.33333333333333
FR,2007-09-03,7,7,1461.0,0.0,1461.0,1461.0,1461.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2007-09-04,7,7,1517.0,0.0,1517.0,1517.0,1517.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-09-05,7,7,1570.0,0.0,1570.0,1570.0,1570.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-09-09,7,14,1629.5,23.5,1629.5,1610.7,1648.3,7,0,0.0,0.0,0.0,0.0,0.0,0,7,7,50.0,50.0
FR,2007-09-10,7,14,1626.0,1.0,1626.0,1625.2,1626.8,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-09-11,7,21,1672.3333333333333,8.806563209081938,1677.0,1663.4,1679.4,7,7,85.77999999999999,0.0,85.78,85.78,85.78,7,14,0,100.0,0.0
FR,2007-09-20,7,7,1712.0,0.0,1712.0,1712.0,1712.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-09-22,7,7,1674.0,0.0,1674.0,1674.0,1674.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2007-09-27,7,7,1695.0,0.0,1695.0,1695.0,1695.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-09-28,7,7,1704.0,0.0,1704.0,1704.0,1704.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-09-29,7,7,1726.0,0.0,1726.0,1726.0,1726.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-10-02,7,7,1719.0,0.0,1719.0,1719.0,1719.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
FR,2007-10-03,7,14,1742.0,12.0,1742.0,1732.4,1751.6,7,0,0.0,0.0,0.0,0.0,0.0,0,14,0,100.0,0.0
FR,2007-10-08,7,7,1731.0,0.0,1731.0,1731.0,1731.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2007-10-10,7,7,1750.0,0.0,1750.0,1750.0,1750.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-10-11,7,7,1745.0,0.0,1745.0,1745.0,1745.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
FR,2007-10-13,7,14,1706.0,12.0,1706.0,1696.4,1715.6,7,0,0.0,0.0,0.0,0.0,0.0,0,7,7,50.0,50.0
FR,2007-10-17,7,7,1718.0,0.0,1718.0,1718.0,1718.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
FR,2007-10-19,7,7,1737.0,0.0,1737.0,1737.0,1737.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-10-20,7,7,1702.0,0.0,1702.0,1702.0,1702.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2007-10-21,7,7,1716.0,0.0,1716.0,1716.0,1716.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-10-23,7,7,1708.0,0.0,1708.0,1708.0,1708.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
FR,2007-10-24,7,7,1723.0,0.0,1723.0,1723.0,1723.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-10-30,7,14,1751.5,11.5,1751.5,1742.3,1760.7,7,0,0.0,0.0,0.0,0.0,0.0,0,14,0,100.0,0.0
FR,2007-11-01,7,7,1763.0,0.0,1763.0,1763.0,1763.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-11-04,7,7,1783.0,0.0,1783.0,1783.0,1783.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-11-05,7,14,1795.5,10.5,1795.5,1787.1,1803.9,7,0,0.0,0.0,0.0,0.0,0.0,0,14,0,100.0,0.0
FR,2007-11-06,7,7,1804.0,0.0,1804.0,1804.0,1804.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
FR,2007-11-07,7,7,1804.0,0.0,1804.0,1804.0,1804.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2007-11-16,7,7,1798.0,0.0,1798.0,1798.0,1798.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
FR,2007-11-19,7,7,1758.0,0.0,1758.0,1758.0,1758.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
